11359000,1,52
11359000,5,59
11359000,8,33
11359000,2,54
11360000,2,55
11360000,5,55
11360000,8,33
11360000,1,52
11361000,2,54
11361000,1,47
11361000,8,32
11361000,5,56
11362000,2,54
11362000,1,46
11362000,8,31
11362000,5,56
11363000,2,54
11363000,1,46
11363000,8,30
11363000,5,57
11364000,1,45
11364000,2,53
11364000,5,58
11364000,8,30
11365000,5,58
11365000,2,53
11365000,1,46
11365000,8,32
11366000,5,57
11366000,8,32
11366000,1,46
11366000,2,52
11367000,5,56
11367000,8,32
11367000,1,47
11367000,2,55
11368000,1,48
11368000,5,57
11368000,8,32
11368000,2,55
11369000,5,56
11369000,8,35
11369000,1,50
11369000,2,56
11370000,1,50
11370000,5,58
11370000,2,57
11370000,8,35
11371000,5,59
11371000,8,34
11371000,1,49
11371000,2,57
11372000,5,58
11372000,8,35
11372000,2,55
11372000,1,48
11373000,5,61
11373000,8,37
11373000,2,57
11373000,1,48
11374000,2,58
11374000,5,62
11374000,8,38
11374000,1,49
11375000,2,60
11375000,1,51
11375000,8,38
11375000,5,57
11376000,2,59
11376000,5,58
11376000,8,40
11376000,1,52
11377000,1,53
11377000,5,61
11377000,8,40
11377000,2,60
11378000,5,62
11378000,8,41
11378000,1,57
11378000,2,62
